Name,Address,Website,latitude,longitude,geocode_status
Aaron’s Presents,"2 Elm Sq, Suite 314, Andover, MA 01810",https://www.aaronspresents.org,42.6568924,-71.14045,OK_simplified
"ACT Lawrence, Inc.","15 Union St, Entrance C, 4th Floor, Suites 401 & 417, Lawrence, MA 01840",https://www.actlawrence.org,42.7073763,-71.1535126,OK_manual
AgeSpan – Diaper Pantry (program site),"530 Broadway, Lawrence, MA 01841",https://www.agespan.org,42.716078,-71.1775012,OK
AgeSpan (Elder Services of the Merrimack Valley & North Shore),"280 Merrimack St, Suite 400, Lawrence, MA 01843",https://www.agespan.org,42.7025383,-71.1525897,OK_simplified
"American Training, Inc.","6 Campanelli Dr, Andover, MA 01810",https://americantraininginc.com,42.6935771,-71.2013195,OK
Bethany Community Services,"10 Phoenix Row, Haverhill, MA 01832",https://bethanycommunities.org,42.7732204,-71.0828036,OK
Beyond Soccer,"280 Merrimack Street, Lawrence, MA 01840",https://www.beyondsoccerlawrence.org/,42.7025383,-71.1525897,OK
Boys & Girls Club of Lawrence,"136 Water St, Lawrence, MA 01841",https://www.lawrencebgc.com,42.6993507,-71.1704022,OK
Bread & Roses Community Kitchen & Pantry,"58 Newbury St, Lawrence, MA 01840",https://breadandroseskitchen.org,42.7097136,-71.1558709,OK
"Bread & Roses Housing, Inc.","205 Hampshire St, Lawrence, MA 01841",http://www.brhousing.org,42.709847,-71.167511,OK
Brothers In Arms Circle,No address listed,https://biacircle.com/,,,NOT_FOUND
"Casa Dominicana, Inc.","599 Canal St, Lawrence, MA 01840",https://casadominicana.org,42.7035479,-71.1661648,OK
Catholic Charities Boston – Merrimack Valley,"599 Canal St, 6th Floor West, Lawrence, MA 01840",https://www.ccab.org,42.7035479,-71.1661648,OK_manual
Christian Fellowship Center,"500 Merrimack St, Lawrence, MA 01843",https://cfcmv.org,42.7026985,-71.1507936,OK
"Community Action, Inc.","3 Washington Sq, Haverhill, MA 01830",https://www.communityactioninc.org,42.7741384,-71.0823055,OK
Community Christian Fellowship,"96 East Haverhill St, Lawrence, MA 01841",https://ccflawrence.org,42.7168358,-71.1552459,OK
Community Day Charter Public School (CDCPS),"73 Prospect St, Lawrence, MA 01841",https://www.thecommunitygroupinc.org/community-day-charter-public-school/,42.709158,-71.147897,OK
Community Giving Tree – Boxford,"2 Central St, Byfield, MA 01922 (Boxford/Byfield site)",https://www.communitygivingtree.org,42.7590193,-70.9480543,OK_simplified
"Community InRoads, Inc.","190 Academy Rd, North Andover, MA 01845 (serves Lawrence)",https://www.communityinroads.org,42.6843348,-71.1120036,OK_simplified
"Community Teamwork, Inc.","155 Merrimack St, Lowell, MA 01852",https://www.commteam.org,42.6456211,-71.310308,OK
Cor Unum Meal Center (at St. Patrick Parish),"191 Lawrence St, Methuen, MA 01844",https://corunummealcenter.org,42.7271094,-71.1825513,OK
Corpus Christi Food Pantry / Holy Rosary Shrine,"35 Essex St, Lawrence, MA 01840",https://corpuschristilawrence.org,42.7078218,-71.1543215,OK
Daybreak Shelter (The Psychological Center),"19 Winter St, Lawrence, MA 01841",https://psychologicalcenter.com/our-programs/daybreak-shelter/,42.7051014,-71.1705108,OK
Debbie's Treasure Chest,"15 Union St, Entrance, H, Suite G32, Lawrence, MA 01840",https://www.debbiestreasurechest.org/,42.7073763,-71.1535126,OK_manual
"Elevated Thought, Inc.","15 Union St, Suite 608, Lawrence, MA 01840",https://www.elevatedthought.org,42.7073763,-71.1535126,OK_simplified
"Emmaus, Inc.","150 How St, Haverhill, MA 01830",https://emmausinc.org,42.7772441,-71.0816542,OK
Esperanza Academy,"198 Garden St, Lawrence, MA 01840",https://esperanzaacademy.org,42.708974,-71.1576232,OK
Essex Art Center,"56 Island St, Lawrence, MA 01840",https://www.essexartcenter.org,42.7057823,-71.1523889,OK
Essex County Greenbelt Association,"82 Eastern Ave, Essex, MA 01929",https://www.ecga.org,42.6338425,-70.7647464,OK
Essex County Habitat for Humanity (Main Office),"14 Park St, Danvers, MA 01923",https://www.essexcountyhabitat.org,42.5638247,-70.9364464,OK
Family Services of the Merrimack Valley,"430 North Canal St, Lawrence, MA 01840",https://fsmv.org,42.7051143,-71.1643174,OK
Girls Inc. of Greater Lowell (serves MV),"220 Worthen St, Lowell, MA 01852",https://girlsinclowell.org,42.6450266,-71.3144112,OK
"Greater Lawrence Community Action Council, Inc. (GLCAC)","305 Essex St, Lawrence, MA 01840",https://www.glcac.org,42.7079147,-71.1617742,OK
Greater Lawrence Community Boating Program,"1 Eaton St, Lawrence, MA 01843",https://www.glcbp.org,42.6923785,-71.1768125,OK
Greater Lawrence Family Health Center (GLFHC),"34 Haverhill St, Lawrence, MA 01841",https://glfhc.org,42.7039123,-71.1922181,OK
Greater Lawrence Fellowship of the Arts (Essex Art Center programs),"56 Island St, Lawrence, MA 01840",https://www.essexartcenter.org,42.7057823,-71.1523889,OK
"Groundwork Lawrence, Inc.","50 Island St, Suite 101, Entrance B, Lawrence, MA 01840",https://groundworklawrence.org,42.706148,-71.1513092,OK_simplified
House of Mercy,"85 Bay State Road, Lawrence, MA 01840",https://www.houseofmercylawrence.com/,42.7006172,-71.168775,OK
Iglesia Adventista del Séptimo Día (Seventh-Day Adventist Church),"58 Melrose St, Lawrence, MA 01843",https://adventistlawrence.org,42.7007016,-71.1734287,OK
Iglesia Cristiana de la Comunidad,"123 Lawrence St, Lawrence, MA 01841",,42.7128005,-71.1630655,OK
Iglesia Cristiana Renuevo en el Valle,"9 Union St, Lawrence, MA 01840",,42.7072648,-71.1535129,OK
Iglesia de Dios Ebenezer,"54 East Haverhill St, Lawrence, MA 01841",,42.7134946,-71.1568855,OK
Iglesia de Dios Pentecostal M.I.,"155 Haverhill St, Lawrence, MA 01841",,42.7054992,-71.1970427,OK
Iglesia Fuente de Salvación,"160 Lawrence St, Lawrence, MA 01841",,42.712881,-71.1635961,OK
International Institute of New England – Lowell,"17 Warren St, 3rd Floor, Lowell, MA 01852",https://iine.org,42.6422099,-71.3046141,OK_manual
Ironstone Farm (Challenge Unlimited),"450 Lowell St, Andover, MA 01810",https://ironstonefarm.org,42.6429209,-71.2073463,OK
Jeanne D'Arc Credit Union Foundation (grants to Lawrence orgs),"1 Tremont Pl, Lowell, MA 01852",https://www.jdcu.org/foundation,42.6486753,-71.315123,OK
Jeanne Geiger Crisis Center – Lawrence Office,"280 Merrimack St, Suite 504, Lawrence, MA 01843",https://jeannegeigercrisiscenter.org,42.7025383,-71.1525897,OK_simplified
Joni and Friends New England,"370 Merrimack St, Unit 115, Lawrence, MA 01843",https://joniandfriends.org/new-england,42.7026016,-71.1518547,OK_simplified
Justice Resource Institute,"15 Union St, Lawrence, MA 01840",https://www.jri.org,42.7073763,-71.1535126,OK
"Lawrence CommunityWorks, Inc.","168 Newbury St, Lawrence, MA 01840",https://www.lawrencecommunityworks.org,42.713494,-71.1559939,OK
"Lawrence Family Development & Education Fund, Inc.","34 West St, Lawrence, MA 01841",https://www.lfdcs.org,42.7086123,-71.173692,OK
Lawrence General Hospital (nonprofit),"1 General St, Lawrence, MA 01841",https://www.lawrencegeneral.org,42.7097143,-71.150077,OK
Lawrence History Center,"6 Essex St, Lawrence, MA 01840",https://lawrencehistory.org,42.7075161,-71.1537024,OK
"Lawrence Partnership, Inc.","420 Common St, Lawrence, MA 01840",https://www.lawrencepartnership.org,42.7066571,-71.1654068,OK
