NAME,ADDRESS,CITY,GEOG_CITY,ZIPCODE,LEADERSHIP,YEAR_EST,DENOM,ORG,TYPE,SOURCE,geometry,longitude,latitude
Congregation Ansha Sholum,411 Hampshire Street,Lawrence,Lawrence,01842,,1919,,,Synagogue,Synagogue Council of Massachusetts,POINT (-71.1710800854304 42.715782100398926),-71.1710800854304,42.715782100398926
Third Baptist Church,22 Warren Street,Lawrence,Lawrence,01841,Lewis Floyd,1904,American Baptist Church,Merrimack Valley Baptist Association,Church,Massachusetts Council of Churches,POINT (-71.17705100146496 42.70208699489506),-71.17705100146496,42.70208699489506
First Haitian Baptist Church,115 Garden Street,Lawrence,Lawrence,01841,Pascal Camille,1994,American Baptist Church,Merrimack Valley Baptist Association,Church,Massachusetts Council of Churches,POINT (-71.15421219890426 42.709371914168884),-71.15421219890426,42.709371914168884
Iglesia Bautista Hispana,492 Lowell Street,Lawrence,Lawrence,01844,Jose Reye,1990,American Baptist Church,Merrimack Valley Baptist Association,Church,Massachusetts Council of Churches,POINT (-71.21958711128826 42.70129019258842),-71.21958711128826,42.70129019258842
Corpus Christi,35 Essex Street,Lawrence,Lawrence,01840,Rev. Francis X. Mawn,2004,Roman Catholic,Archdiocese of Boston,Church,Archdiocese of Boston,POINT (-71.15393181521188 42.70797992633492),-71.15393181521188,42.70797992633492
St. Joseph Melkite Church,241 Hampshire Street,Lawrence,Lawrence,01841,,,Roman Catholic,Eparchy of Newton,Church,Eparchy of Newton,POINT (-71.16859342258473 42.71128304428681),-71.16859342258473,42.71128304428681
Saint Patrick,118 South Broadway,Lawrence,Lawrence,01843,Rev. Paul B. O'Brien,1872,Roman Catholic,Archdiocese of Boston,Church,Archdiocese of Boston,POINT (-71.16278983872398 42.69686723736127),-71.16278983872398,42.69686723736127
Saint Mary of the Annunciation,300 Haverhill Street,Lawrence,Lawrence,01840,Rev. Israel J. Rodriguez,2004,Roman Catholic,Archdiocese of Boston,Church,Archdiocese of Boston,POINT (-71.16673877025053 42.70967527691147),-71.16673877025053,42.70967527691147
Grace Church,35 Jackson Street,Lawrence,Lawrence,01840,Rev. Joel Almono,1846,Episcopal Diocese,Merrimack Valley Deanery,Church,Massachusetts Council of Churches,POINT (-71.15744866536296 42.70870173941494),-71.15744866536296,42.70870173941494
Christ United Methodist Church,207 Haverhill Street,Lawrence,Lawrence,01840,Itinerant,,United Methodist,New England Conference,Church,Massachusetts Council of Churches,POINT (-71.16172111001077 42.71060673095382),-71.16172111001077,42.71060673095382
Phoenix Rising UCC,354 Merrimack Street,Lawrence,Lawrence,01843-1755,Rev. Donna Spencer-Collins,1833,United Church of Christ,Massachusetts Conference,Church,Massachusetts Council of Churches,POINT (-71.14419835939327 42.70469807958792),-71.14419835939327,42.70469807958792
St. Paul's Kenyan Community Church,112 Andover Street,Lawrence,Lawrence,01843,"Rev. Morris Mungai, Rector",,Anglican Church,Anglican Diocese of New England,Church,Anglican Diocese of New England,POINT (-71.15038519827579 42.69621739437746),-71.15038519827579,42.69621739437746
Lawrence Corps,250 Haverhill Street,Lawrence,Lawrence,01842,Majors Luis & Susana DeLaRosa,,Salvation Army,,Church,Massachusetts Council of Churches,POINT (-71.16386076955033 42.70987160123248),-71.16386076955033,42.70987160123248
Redeemer Lutheran Church,163 East Haverhill Street,Lawrence,Lawrence,01841-2121,Rev. Cassandra L Chavez,,Evangelical Lutheran Church in America,New England Synod,Church,Evangelical Lutheran Church in America,POINT (-71.1495905605139 42.71689281633786),-71.1495905605139,42.71689281633786
