OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,ZIPCODE,PHONE,GRADES,TYPE,TYPE_DESC,DIST_NAME,longitude,latitude
62,01490020,James F Hennessey School,122 Hancock Street,Lawrence,LAWRENCE,01841,978-975-5950,"PK,K,01,02",ELE,Public Elementary,Lawrence,-71.17716453351096,42.69704057524365
20,01490040,Francis M Leahy School,100 Erving Avenue,Lawrence,LAWRENCE,01841,978-975-5959,"01,02,03,04,05",ELE,Public Elementary,Lawrence,-71.16156289048646,42.714669845113626
194,04540205,Lawrence Family Development Charter School,34 West Street,Lawrence,LAWRENCE,01841,978-689-9863,"PK,K,01,02,03,04,05,06,07,08",CHA,Charter,Lawrence Family Development Charter,-71.17389982510393,42.708480676807
201,01490537,School for Exceptional Studies,233 Haverhill Street,Lawrence,LAWRENCE,01841,978-975-5980,"K,01,02,03,04,05,06,07,08,09,10,11,12",SEC,Public Secondary,Lawrence,-71.16360176573387,42.710589302473274
264,01490027,Parthum Middle School,255 East Haverhill Street,Lawrence,LAWRENCE,01841,978-691-7224,"05,06,07,08",MID,Public Middle,Lawrence,-71.14323118865791,42.71830955060871
279,01490536,High School Learning Center,70-71 North Parish Road,Lawrence,LAWRENCE,01843,978-975-5917,"09,10,11,12",SEC,Public Secondary,Lawrence,-71.14552728209426,42.69048085863782
294,01490860,Esperanza Academy,198 Garden Street,Lawrence,LAWRENCE,01840,978-686-4673,"05,06",PRI,Private,,-71.1574975298763,42.70895570772947
535,01490025,Guilmette Middle School,80 Bodwell Street,Lawrence,LAWRENCE,01841,978-722-8270,"05,06,07,08",MID,Public Middle,Lawrence,-71.17678276128852,42.699717919711745
410,01490002,Lawlor Early Childhood Center,41 Lexington Street,Lawrence,LAWRENCE,01841,978-975-5956,K,ELE,Public Elementary,Lawrence,-71.16481809931861,42.71624827416224
661,01490018,Robert Frost School,33 Hamlet Street,Lawrence,LAWRENCE,01843,978-975-5941,"K,01,02,03,04",ELE,Public Elementary,Lawrence,-71.16816434210494,42.684940050127686
1072,01490003,John Breen School,114 Osgood Street,Lawrence,LAWRENCE,01843,978-975-5932,"PK,K",ELE,Public Elementary,Lawrence,-71.1481356238266,42.695904132056896
1119,01490080,Emily G Wetherbee School,75 Newton Street,Lawrence,LAWRENCE,01843,978-557-2900,"K,01,02,03,04,05,06,07,08",ELE,Public Elementary,Lawrence,-71.16679664807369,42.694309235372344
1177,01490075,John K Tarbox School,59 Alder Street,Lawrence,LAWRENCE,01841,978-975-5983,"01,02,03,04,05",ELE,Public Elementary,Lawrence,-71.17022608930553,42.71726640427277
1324,01490053,Edward F Parthum School,255 East Haverhill Street,Lawrence,LAWRENCE,01841,978-691-7200,"K,01,02,03,04",ELE,Public Elementary,Lawrence,-71.14323118865791,42.71830955060871
1267,01490004,South Lawrence East Elementary School,165 Crawford Street,Lawrence,LAWRENCE,01843,978-975-5970,"01,02,03,04,05",ELE,Public Elementary,Lawrence,-71.14642974044511,42.69451567649443
1268,01490525,Frost Middle School,33 Hamlet Street,Lawrence,LAWRENCE,01843,978-722-8810,"05,06,07,08",MID,Public Middle,Lawrence,-71.16816434210494,42.684940050127686
1272,01490085,Spark Academy,165 Crawford Street,Lawrence,LAWRENCE,01843,978-975-5993,"06,07,08",ELE,Public Elementary,Lawrence,-71.14642974044511,42.69451567649443
1441,01490017,Arlington Middle School,150 Arlington Street,Lawrence,LAWRENCE,01841,978-975-5930,"05,06,07,08",MID,Public Middle,Lawrence,-71.17473069595175,42.7173319894349
1457,01490049,UP Academy Oliver Middle School,233 Haverhill Street,Lawrence,LAWRENCE,01840,978-722-8670,"06,07,08",MID,Public Middle,Lawrence,-71.16360176573387,42.710589302473274
1467,01490022,Gerard A Guilmette School,80 Bodwell Street,Lawrence,LAWRENCE,01841,978-686-8150,"01,02,03,04",ELE,Public Elementary,Lawrence,-71.17678276128852,42.699717919711745
1471,01490810,Central Catholic High School,300 Hampshire Street,Lawrence,LAWRENCE,01841,978-682-0260,"09,10,11,12",PRI,Private,,-71.17097119039437,42.712847109892884
1646,01490048,Oliver Partnership School,303 Haverhill Street,Lawrence,LAWRENCE,01840,978-722-8170,"01,02,03,04,05",ELE,Public Elementary,Lawrence,-71.16757181117623,42.710319352363314
1661,01490001,Rollins Early Childhood Center,451 Howard Street,Lawrence,LAWRENCE,01841,978-722-8190,"PK,K",ELE,Public Elementary,Lawrence,-71.1485210687868,42.71410314317257
1567,01490880,Blessed Stephen Bellesini O.S.A. Academy,94 Bradford Street,Lawrence,LAWRENCE,01840,987-989-0004,"05,06,07,08",PRI,Private,,-71.16974892918992,42.707957465420584
1839,01490802,Lawrence Catholic Academy,101 Parker Street,Lawrence,LAWRENCE,01843,978-683-5822,"PK,K,01,02,03,04,05,06,07,08",PRI,Private,,-71.15945629584787,42.697751130131486
1749,01490090,UP Academy Leonard Middle School,60 Allen Street,Lawrence,LAWRENCE,01841,978-722-8159,"06,07,08",ELE,Public Elementary,Lawrence,-71.15181264350535,42.709767218363034
1931,04310205,Community Day Charter Public School - R. Kingman Webster,50 Pleasant Street,Lawrence,LAWRENCE,01841,978-722-2538,"PK,K,01,02,03,04,05,06,07,08",CHA,Charter,Community Day Charter Public School - R. Kingman Webster,-71.14490753678999,42.712653429961826
1932,04260205,Community Day Charter Public School - Gateway,50 Pleasant Street,Lawrence,LAWRENCE,01841,978-722-2538,"PK,K,01,02,03,04,05,06,07,08",CHA,Charter,Community Day Charter Public School - Gateway,-71.14490753678999,42.712653429961826
1963,01490009,Community Day Arlington Elementary School,150 Arlington Street,Lawrence,LAWRENCE,01841,978-722-8311,"K,01,02,03,04",ELE,Public Elementary,Lawrence,-71.17473069595175,42.7173319894349
1924,01490515,Lawrence High School,71 North Parish Road,Lawrence,LAWRENCE,01843,978-975-2750,"09,10,11,12",SEC,Public Secondary,Lawrence,-71.14552728209426,42.69048085863782
1856,01490011,Lawrence Family Public Academy,526 Lowell Street,Lawrence,LAWRENCE,01841,978-722-8030,"PK,K",ELE,Public Elementary,Lawrence,-71.18308687490219,42.70052553305793
2206,01490890,Notre Dame Cristo Rey High School,303 Haverhill Street,Lawrence,LAWRENCE,01840,978-689-8222,"09,10,11",PRI,Private,,-71.16755002294363,42.71020722231889
2165,04400205,Community Day Charter Public School - Prospect,190 Hampshire Street,Lawrence,LAWRENCE,01840,978-722-2538,"PK,K,01,02,03,04,05,06,07,08",CHA,Charter,Community Day Charter Public School - Prospect,-71.16774463989258,42.709503367721034
2166,01490015,Alexander B Bruce School,135 Butler Street,Lawrence,LAWRENCE,01841,978-975-5935,"03,04,05,06,07,08",ELE,Public Elementary,Lawrence,-71.1811442248806,42.70273566201842
2466,01490615,RISE Academy,530 Broadway Street,Lawrence,LAWRENCE,01841,978-975-5905,"07,08,09,10,11,12",SEC,Public Secondary,Lawrence,-71.17679981816983,42.71489684303942
2320,01490895,"CLASS, Inc.",1 Parker Street,Lawrence,LAWRENCE,01843,978-975-8587,"K,01,02,03,04,05,06,07,08,09,10,11,12",SPU,Special Education (Unapproved),,-71.16018661689377,42.700519109440435
2365,35180505,Phoenix Academy Public Charter High School Lawrence,15 Union Street,Lawrence,LAWRENCE,01840,978-722-8410,"09,10,11,12",CHA,Charter,Phoenix Academy Public Charter High School Lawrence,-71.152924728707,42.70794308894468
