base_charge,total_count,category,charge_class
"license suspended, op mv with",696,Motor Vehicle,Misdemeanor
unlicensed operation of mv,603,Motor Vehicle,Misdemeanor
"drug, possess class a",524,Drug Offense,Misdemeanor
disorderly conduct,453,Public Order,Misdemeanor
"drug, possess class b",420,Drug Offense,Misdemeanor
resisting arrest,381,Obstruction of Justice,Misdemeanor
trespass,257,Public Order,Misdemeanor
assault w/dangerous weapon,232,Assault/Battery,Felony
"drug, distribute class a",225,Drug Offense,Felony
oui liquor,212,Motor Vehicle,Misdemeanor
a&b,203,Assault/Battery,Misdemeanor
"stop/yield, fail to",198,Motor Vehicle,Misdemeanor
a&b with dangerous weapon,198,Assault/Battery,Felony
unregistered motor vehicle,193,Motor Vehicle,Misdemeanor
uninsured mv/trailer,191,Motor Vehicle,Misdemeanor
shoplifting by asportation,187,Theft/Larceny,Misdemeanor
threat to commit crime,178,Public Order,Either
"firearm, carry without license",168,Firearm Offense,Either
any person trafficks fentanyl more than 10 grams,162,Drug Offense,Felony
larceny under $1200,162,Theft/Larceny,Misdemeanor
marked lanes violation,150,Motor Vehicle,Misdemeanor
fugitive from justice on court warrant,149,Fugitive/Warrant,Either
"stop for police, fail",147,Motor Vehicle,Misdemeanor
"motor veh, receive stolen",147,Motor Vehicle,Either
reckless operation of motor vehicle,146,Motor Vehicle,Misdemeanor
"drug, possess to distrib class b",138,Drug Offense,Felony
leave scene of property damage,133,Motor Vehicle,Misdemeanor
sexual conduct for fee,131,Sex Offense,Misdemeanor
a&b on police officer,129,Assault/Battery,Felony
b&e nighttime for felony,127,Breaking & Entering,Felony
"drug, distribute class b",121,Drug Offense,Felony
"drug, possess to distrib class a",112,Drug Offense,Felony
carrying a loaded firearm,111,Firearm Offense,Felony
larceny over $1200,111,Theft/Larceny,Felony
trafficking class a: 28+ grams,106,Drug Offense,Felony
speeding,106,Motor Vehicle,Misdemeanor
shoplifting by concealing mdse,99,Theft/Larceny,Misdemeanor
"false id info, arrst furni to law enf",92,Fraud/Financial,Misdemeanor
"drug, possess class e",90,Drug Offense,Misdemeanor
"motor veh, malicious damage to",83,Motor Vehicle,Either
unlawful possession ammo no fid,80,Firearm Offense,Misdemeanor
"firearm without fid card, possess",78,Firearm Offense,Either
"destruction of prop -$1200, malicious",74,Property Destruction,Misdemeanor
disturbing the peace,70,Public Order,Misdemeanor
"alcohol from open container in mv, drink",68,Motor Vehicle,Misdemeanor
larceny from building,67,Theft/Larceny,Either
conspiracy to violate drug law,65,Drug Offense,Either
"motor veh, larceny of",64,Motor Vehicle,Felony
drinking in public,63,Public Order,Misdemeanor
negligent operation of motor vehicle,60,Motor Vehicle,Misdemeanor
receive stolen property -$1200,59,Theft/Larceny,Either
"inspection/sticker, no",57,Motor Vehicle,Misdemeanor
"destruction of prop +$1200, malicious",55,Property Destruction,Felony
defacement malicious wanton property,55,Property Destruction,Either
"registration suspended, op mv with",54,Motor Vehicle,Misdemeanor
unlawful improper storage of firearm,53,Firearm Offense,Misdemeanor
attempt to commit crime,53,Attempt,Either
attaching wrong mv plates,51,Motor Vehicle,Misdemeanor
"dangerous weapon, carry",51,Weapons,Either
trafficking class b: 28+ grams,50,Drug Offense,Felony
"wit/juror/pol/court official, intimidate",50,Obstruction of Justice,Felony
b&e daytime for felony,50,Breaking & Entering,Felony
"check, utter false",50,Fraud/Financial,Felony
"firearm, discharge within 500 ft of bldg",49,Firearm Offense,Misdemeanor
